쌍,거리km,제외역,실행가능,총비용,단위비용,기준대비_원,기준대비_pct,n
서울역-충정로,0.91,서울역,True,10713161.750345446,73.77111321308517,72829.89604963735,0.006844701560716249,18
서울역-충정로,0.91,충정로,True,10673866.070604447,73.50052213021789,33534.21630863845,0.0031516137624128444,17
가락시장-오금,1.44,가락시장,True,10681752.74647513,73.55482998742096,41420.8921793215,0.003892819579926794,18
가락시장-오금,1.44,오금,True,10686551.749239031,73.5878760465075,46219.8949432224,0.004343839607273348,18
가락시장-수서,1.5,가락시장,True,10681752.74647513,73.55482998742096,41420.8921793215,0.003892819579926794,18
가락시장-수서,1.5,수서,True,10889228.2514814,74.98351176460649,248896.39718559198,0.02339178895864092,17
구로-양천구청,1.76,구로,True,10807090.97809774,74.41791234260535,166759.12380193174,0.01567236117119846,17
구로-양천구청,1.76,양천구청,True,10851672.21724624,74.72489992638728,211340.36295043118,0.019862196578493647,18
신답-신설동,2.0,신답,True,10660893.101640994,73.4111899251775,20561.247345184907,0.0019323877889093975,18
신답-신설동,2.0,신설동,True,10692214.006381217,73.62686649791783,51882.15208540857,0.004875990034508393,18
