행정동,수요,배정허브,배정km,가까운허브,가까운km,차이km,그허브여유,여유충분
증산동,163.584,구로,10.552144241134673,불광,3.9355438442796142,6.616600396855059,-166.52400000000034,False
수색동,220.14,구로,10.805676705722151,불광,4.781108431748034,6.024568273974117,-166.52400000000034,False
북가좌1동,82.60799999999999,구로,9.975395764510486,불광,4.559393677533396,5.41600208697709,-166.52400000000034,False
잠원동,524.0279999999999,신답,8.18180247734116,교대,3.2855904940748495,4.89621198326631,108.75600000000031,False
연남동,306.924,구로,8.471155496948082,충정로,4.334381880810378,4.136773616137704,-80.44800000000032,False
논현2동,772.9079999999999,신답,7.450155030156567,교대,3.8729528164612876,3.577202213695279,108.75600000000031,False
평창동,260.652,신설동,8.42885623256236,불광,4.945102789148336,3.483753443414024,-166.52400000000034,False
자양4동,323.448,신답,5.906137471923343,구의,2.4233938317121706,3.4827436402111727,-80.44800000000032,False
도곡1동,363.492,수서,6.527830461697372,교대,3.3451076908306043,3.1827227708667674,108.75600000000031,False
성현동,333.132,독산,7.141160415351477,총신대입구,3.9781557575910664,3.1630046577604105,35.81999999999971,False
잠실2동,527.376,수서,7.012803089049438,구의,3.8514324150356183,3.1613706740138197,-80.44800000000032,False
성산2동,564.1679999999999,구로,8.964224723599859,불광,5.815038977874783,3.1491857457250756,-166.52400000000034,False
구의2동,331.572,신답,5.443978846640408,구의,2.306363366883757,3.137615479756651,-80.44800000000032,False
역삼2동,765.852,수서,6.290025145205634,교대,3.166176602662989,3.123848542542645,108.75600000000031,False
성산1동,293.7,구로,8.279667465459763,충정로,5.233952964143682,3.0457145013160813,-80.44800000000032,False
서교동,975.24,구로,7.375150425958308,충정로,4.399011239768353,2.976139186189955,-80.44800000000032,False
청담동,729.348,신답,7.258578013570607,구의,4.410678121074658,2.847899892495949,-80.44800000000032,False
중앙동,235.584,독산,6.925736707083589,총신대입구,4.174261741048767,2.751474966034822,35.81999999999971,False
신사동,463.86,신답,7.224176940485922,교대,4.476291068314891,2.7478858721710306,108.75600000000031,False
홍은2동,370.212,서울역,6.3369354766234025,불광,3.634187699574609,2.7027477770487933,-166.52400000000034,False
반포3동,309.492,신답,9.072261373440663,교대,6.383461315670962,2.6888000577697007,108.75600000000031,False
남현동,258.864,독산,11.232020469688802,총신대입구,8.562594152227982,2.66942631746082,35.81999999999971,False
부암동,106.032,신설동,7.5143243524904655,충정로,4.918546287748708,2.595778064741758,-80.44800000000032,False
청운효자동,197.712,신설동,5.865541119811954,충정로,3.269763055070197,2.5957780647417565,-80.44800000000032,False
방이2동,513.7439999999999,수서,4.267250158060413,오금,1.988129217477064,2.2791209405833497,-34.15114811568719,False
중곡4동,354.24,신답,5.648427849064156,구의,3.4008079732626104,2.2476198758015453,-80.44800000000032,False
암사1동,388.26,가락시장,7.766481696984109,구의,5.567330054552807,2.1991516424313025,-80.44800000000032,False
홍은1동,261.036,서울역,6.131492771046041,불광,3.9356494640024127,2.1958433070436283,-166.52400000000034,False
풍납2동,352.788,수서,6.9383581198332065,오금,4.768219861779915,2.1701382580532913,-34.15114811568719,False
삼성2동,842.772,수서,6.2927597645793645,교대,4.142204245386806,2.150555519192558,108.75600000000031,False
암사3동,222.504,가락시장,8.710112621356355,구의,6.570399768103881,2.1397128532524743,-80.44800000000032,False
잠실4동,289.428,수서,5.0292895596547496,오금,2.921058645588331,2.1082309140664184,-34.15114811568719,False
홍제3동,207.408,서울역,5.674050518389447,불광,3.593626584082389,2.080423934307058,-166.52400000000034,False
성수2가1동,151.44,신답,5.111746303760863,구의,3.1440278654895364,1.9677184382713264,-80.44800000000032,False
청룡동,654.228,독산,6.377583699760575,총신대입구,4.600343511148107,1.7772401886124687,35.81999999999971,False
성수2가3동,1705.9199999999998,신답,4.531852211363347,구의,2.8010215209564,1.7308306904069473,-80.44800000000032,False
망원2동,269.064,구로,8.092680540686539,충정로,6.397917978939972,1.6947625617465665,-80.44800000000032,False
양재2동,566.7479999999999,수서,7.984500517290942,교대,6.3468329546464615,1.6376675626444808,108.75600000000031,False
상암동,588.1679999999999,구로,9.47096603513675,불광,7.844863199535206,1.626102835601543,-166.52400000000034,False
잠실6동,186.684,수서,5.003979241881189,구의,3.406535605878736,1.597443636002453,-80.44800000000032,False
송파1동,412.848,수서,3.5365700222024246,오금,1.9630356462608014,1.5735343759416232,-34.15114811568719,False
보라매동,316.69199999999995,독산,6.123368889471139,대방,4.572459773455,1.5509091160161388,-44.988000000000284,False
신대방2동,312.54,구로,4.838916325454943,대방,3.294252814665495,1.5446635107894484,-44.988000000000284,False
도곡2동,586.152,수서,5.415517326282783,교대,3.9433221300912997,1.4721951961914836,108.75600000000031,False
신수동,205.8,대방,5.068938935173082,충정로,3.6100453015981193,1.458893633574963,-80.44800000000032,False
남가좌2동,228.108,충정로,5.638650646259422,불광,4.245219605169631,1.3934310410897908,-166.52400000000034,False
한남동,437.772,신설동,6.369416907622677,신용산,4.987933106779132,1.3814838008435446,35.81999999999971,False
고덕1동,295.632,가락시장,8.883571230617186,오금,7.5210341121905575,1.3625371184266282,-34.15114811568719,False
성내3동,289.52399999999994,가락시장,4.789422590315064,오금,3.4268854718884354,1.3625371184266282,-34.15114811568719,False
성내2동,291.528,가락시장,5.850421924605079,오금,4.48788480617845,1.3625371184266282,-34.15114811568719,False
명일1동,345.684,가락시장,7.410438277734025,오금,6.047901159307397,1.3625371184266282,-34.15114811568719,False
성내1동,354.19199999999995,가락시장,5.23011432459238,오금,3.867577206165754,1.362537118426626,-34.15114811568719,False
삼청동,50.412,신설동,5.3369962033799965,서울역,4.005191865571804,1.331804337808192,109.75200000000041,True
방이1동,223.536,가락시장,2.4941912349184143,오금,1.2533126582606344,1.24087857665778,-34.15114811568719,False
능동,233.28,신답,4.303730383509821,구의,3.0841384869027246,1.2195918966070964,-80.44800000000032,False
중곡2동,288.96,신답,4.322501544893368,구의,3.113728062910351,1.2087734819830165,-80.44800000000032,False
필동,160.05599999999998,신설동,4.1216183952341545,서울역,2.9263801807297716,1.195238214504383,109.75200000000041,False
홍제1동,304.14,서울역,4.801826764512607,불광,3.6387209081888203,1.1631058563237868,-166.52400000000034,False
용강동,399.444,대방,4.426461412062638,충정로,3.2647859551364995,1.1616754569261385,-80.44800000000032,False
마천2동,158.796,가락시장,3.6860468780693636,오금,2.5608202665259547,1.1252266115434089,-34.15114811568719,False
망원1동,302.112,구로,7.370441020659031,충정로,6.255718404925707,1.1147226157333243,-80.44800000000032,False
신촌동,818.8439999999999,서울역,4.38172951990378,충정로,3.2804323912998608,1.1012971286039188,-80.44800000000032,False
대치4동,464.88,수서,5.300223837593834,교대,4.200905245762261,1.0993185918315733,108.75600000000031,False
마천1동,160.368,가락시장,4.0284853657625215,오금,2.957352938493021,1.0711324272695006,-34.15114811568719,False
거여1동,128.22,가락시장,2.5378804424055286,오금,1.4667480151360284,1.0711324272695002,-34.15114811568719,False
거여2동,274.86,가락시장,3.168355297736045,오금,2.097222870466545,1.0711324272695002,-34.15114811568719,False
서강동,499.584,대방,5.029725296535576,충정로,3.9602099581080936,1.069515338427482,-80.44800000000032,False
염리동,171.21599999999998,서울역,3.2006631567498713,충정로,2.262382977903493,0.9382801788463784,-80.44800000000032,False
군자동,300.396,신답,3.8662410787489927,구의,2.9521706747054908,0.9140704040435019,-80.44800000000032,False
은천동,417.048,독산,5.981853492948631,총신대입구,5.137462679993912,0.8443908129547193,35.81999999999971,False
반포4동,312.972,총신대입구,2.605555271408296,교대,1.795281160370908,0.8102741110373881,108.75600000000031,False
신길4동,131.1,구로,3.461618413630408,대방,2.667163311902331,0.7944551017280768,-44.988000000000284,False
중림동,184.44,서울역,1.3141252647636086,충정로,0.5595045761165661,0.7546206886470425,-80.44800000000032,False
을지로동,59.592,신설동,3.598546812576927,서울역,2.9465234617913185,0.6520233507856084,109.75200000000041,True
왕십리도선동,531.996,신답,1.9696089004999646,신설동,1.3353635252909695,0.6342453752089952,156.54791650256084,False
상도1동,593.556,대방,4.451785309519419,총신대입구,3.843260475554427,0.6085248339649922,35.81999999999971,False
석촌동,510.18,수서,2.7976386398009443,가락시장,2.19264103829278,0.6049976015081642,26.348934419203033,False
영등포동,800.676,구로,3.3867088693568395,대방,2.7949926354803285,0.591716233876511,-44.988000000000284,False
흑석동,333.504,대방,3.855758095208754,신용산,3.298574805194866,0.5571832900138882,35.81999999999971,False
천연동,174.72,서울역,2.781989797466268,충정로,2.2676913465256257,0.5142984509406423,-80.44800000000032,False
홍제2동,150.79199999999997,서울역,4.106538296034883,충정로,3.592239845094241,0.5142984509406423,-80.44800000000032,False
교남동,58.356,서울역,2.310175109862107,충정로,1.795876658921465,0.5142984509406421,-80.44800000000032,False
무악동,91.164,서울역,2.962420769591269,충정로,2.4481223186506273,0.5142984509406419,-80.44800000000032,False
문정2동,693.3839999999999,수서,2.0956075267140615,가락시장,1.5891057706958698,0.5065017560181917,26.348934419203033,False
공덕동,613.4279999999999,서울역,2.19138232412447,충정로,1.6864051752546596,0.5049771488698103,-80.44800000000032,False
가락2동,437.724,가락시장,1.3862389270041047,오금,0.8897802059655333,0.49645872103857136,-34.15114811568719,False
사직동,326.976,서울역,2.9024768322433645,충정로,2.4089045326277785,0.493572299615586,-80.44800000000032,False
왕십리2동,327.12,신답,2.7773120438960657,신설동,2.297588038731831,0.47972400516423486,156.54791650256084,False
신길6동,238.932,구로,3.512681031025448,대방,3.03792998309621,0.4747510479292383,-44.988000000000284,False
종암동,487.068,신답,3.602759657143089,신설동,3.149287252677691,0.45347240446539816,156.54791650256084,False
압구정동,629.208,신답,5.823974299298392,교대,5.370703455396821,0.4532708439015707,108.75600000000031,False
합정동,316.92,구로,6.233550286887347,대방,5.805793904752584,0.4277563821347625,-44.988000000000284,False
개봉3동,200.544,구로,4.110361667554327,양천구청,3.691117326020388,0.41924434153393886,-91.64912212817399,False
개봉2동,335.628,구로,3.2527177395207705,양천구청,2.833473397986832,0.4192443415339384,-91.64912212817399,False
신림동,411.168,독산,4.956984677902112,대방,4.547879604226141,0.4091050736759705,-44.988000000000284,False
개포4동,425.04,수서,5.389810537286709,교대,5.023615599173901,0.366194938112808,108.75600000000031,False
종로1·2·3·4가동,545.8199999999999,신설동,3.6119756919899406,서울역,3.2513812641430655,0.3605944278468751,109.75200000000041,False
행당2동,274.32,신답,2.908409557841592,신설동,2.579425713815216,0.3289838440263759,156.54791650256084,False
길음2동,404.088,신이문,4.5929048720576775,신설동,4.285710495189008,0.30719437686866957,156.54791650256084,False
서림동,281.508,독산,5.9581612665697,총신대입구,5.654538706181472,0.3036225603882281,35.81999999999971,False
