허브,동수,물량,배정평균km,최근접평균km,초과km,초과율,최소여유
신답,37,14697.504,4.242112929842207,3.0269708259506656,1.2151421038915418,0.4014383268824231,"적재 4,825"
구로,35,12164.616,4.653705958855757,3.565809584303625,1.0878963745521322,0.30509098953038727,"적재 17,835"
수서,31,13135.56,4.496211025717103,3.4430456677319277,1.0531653579851752,0.3058819021354826,엘리베이터 113
가락시장,18,5760.192,3.9012681207203066,3.071948890828838,0.8293192298914684,0.26996517825129285,엘리베이터 26
서울역,23,5890.2480000000005,3.1245690961803363,2.3968738563652088,0.7276952398151275,0.3036018094496873,적재 110
독산,30,10769.651999999998,3.9566244078033943,3.5246108832624325,0.43201352454096176,0.12257055852391963,"시간 4,980"
대방,14,6044.987999999999,3.3380750823190715,3.0074492324564326,0.3306258498626389,0.10993563791352501,적재 -45
신설동,42,10477.56,3.3697612263050325,3.101693371085472,0.26806785521956034,0.08642629143116975,엘리베이터 157
충정로,7,2365.176,2.7545165828283436,2.6175337379117463,0.1369828449165973,0.05233279057021112,적재 -80
총신대입구,17,4621.104,2.243169468284307,2.1786048956932693,0.06456457259103754,0.029635741991891562,시간 36
신이문,34,10323.804,3.309881636581575,3.297857622820745,0.012024013760830066,0.0036460075406608006,"적재 19,676"
오금,12,3978.0599999999995,5.472146732462872,5.465957894828001,0.006188837634870659,0.0011322512456100053,엘리베이터 -34
창동,39,10261.344000000001,3.044396521796646,3.040667072998718,0.0037294487979280255,0.00122652322940775,"엘리베이터 2,511"
신용산,10,2543.076,1.8509005945807646,1.8497548579131602,0.0011457366676044245,0.0006193991937379906,시간 36
교대,8,5891.243999999999,2.1135117143050897,2.1135117143050897,0.0,0.0,적재 109
구의,10,3715.2720000000004,2.070334881507944,2.070334881507944,0.0,0.0,적재 -80
불광,15,6166.523999999999,2.3783041517698686,2.3783041517698686,0.0,0.0,적재 -167
양천구청,44,16415.712,4.818603141853406,4.818603141853406,0.0,0.0,엘리베이터 -92
