P억,n,단위비용
1,10,81.46192519088827
1,11,79.06728820126655
1,12,77.14946717623506
1,13,76.37010608639048
1,14,76.49086264720685
1,15,75.21787601517156
1,16,74.97819619768951
1,17,75.31340794702858
1,18,75.26285578462839
1,19,75.08940215303345
1,20,75.26787852065945
1,21,75.43971418335569
1,22,75.57947037075431
1,23,75.75943561986456
1,24,76.01076614659071
1,25,76.26416247958245
1,26,76.56690049161189
1,27,76.91752751633042
1,28,77.27269931733719
3,10,83.56703456323909
3,11,81.00732429735797
3,12,80.49084273239009
3,13,79.11892567408933
3,14,78.31985710044714
3,15,78.84180223732825
3,16,77.99672825971606
3,17,78.48749073392307
3,18,78.36337749158454
3,19,78.87144311692704
3,20,79.04104359834425
3,21,79.76656278949389
3,22,80.02528368345632
3,23,80.56832063556857
3,24,80.53856424004067
3,25,80.98061882668843
3,26,81.4720150926727
3,27,82.01130037120488
3,28,82.55513042707537
5,10,85.23509026857305
5,11,83.21776978478364
5,12,82.83968611359897
5,13,81.77038273599315
5,14,82.0073867413561
5,15,81.18876033937339
5,16,81.01526032219232
5,17,81.72778858004432
5,18,82.01768766027968
5,19,82.53141463964657
5,20,82.81420867602903
5,21,83.66668892518364
5,22,84.17576526943088
5,23,84.43771529978817
5,24,85.1050825142289
5,25,85.69707517463091
5,26,86.62427847753224
5,27,87.10507322619902
5,28,87.83756153694559
