파라미터,값,실행가능,n,총비용,단위비용,기본값여부
ALPHA_RAIL,500,True,20,10470784.472165136,72.10209690906619,False
ALPHA_RAIL,700,True,18,10640331.854295809,73.2696046358809,True
ALPHA_RAIL,1000,True,18,10888131.854197145,74.97596194410828,False
ALPHA_RAIL,2000,True,16,11828204.5349691,81.44932711658132,False
UNLOAD_RATE,150,True,16,11277182.611994214,77.65497568140752,False
UNLOAD_RATE,300,True,17,10800399.567865983,74.3718351159877,False
UNLOAD_RATE,450,True,18,10640331.854295809,73.2696046358809,True
UNLOAD_RATE,600,True,18,10533341.717435474,72.5328677431748,False
AVAILABLE_MIN,120,True,22,11571382.535895873,79.68084408507747,False
AVAILABLE_MIN,180,True,18,10640331.854295809,73.2696046358809,True
AVAILABLE_MIN,240,True,19,9804278.446354982,67.51251890837383,False
