보수가정수,조합,인입선분,상차포함,유효하역속도,가용시간,최대분담률_pct,대표분담률_성립,n,허브
0,현행(기준),0.0,False,450.0,180,22.81,True,25,"가락시장, 개봉, 경찰병원, 광운대, 교대, 구로, 노원, 대방, 독산, 상계, 서울역, 서초, 수서, 신답, 신설동, 신이문, 신정네거리, 양천구청, 연신내, 오금, 용답, 용두, 이대, 창동, 총신대입구"
1,인입선,3.0,False,450.0,180,19.38,True,23,"가락시장, 경찰병원, 광운대, 교대, 구로, 노원, 녹번, 대방, 독산, 봉천, 상계, 서울역, 서초, 수서, 신설동, 신이문, 신정네거리, 양천구청, 오금, 용답, 용두, 창동, 총신대입구"
1,상차,0.0,True,225.0,180,19.38,True,23,"가락시장, 개봉, 경찰병원, 교대, 구로, 노원, 녹번, 대방, 독산, 상계, 서울역, 석계, 수서, 신설동, 신이문, 신정네거리, 양천구청, 오금, 용답, 용두, 창동, 총신대입구, 충정로"
1,단축시간,0.0,False,450.0,150,18.12,True,23,"가락시장, 경찰병원, 광운대, 교대, 구로, 노원, 대방, 독산, 봉천, 불광, 상계, 서울역, 수서, 신답, 신설동, 신이문, 신정네거리, 양천구청, 오금, 용답, 창동, 총신대입구, 충정로"
1,저속하역,0.0,False,150.0,180,15.94,True,23,"가락시장, 개봉, 경찰병원, 광운대, 교대, 구로, 노원, 대방, 독산, 불광, 상계, 서울역, 수서, 신답, 신설동, 신이문, 신정네거리, 양천구청, 오금, 용답, 창동, 총신대입구, 충정로"
2,인입선+단축시간,3.0,False,450.0,150,17.19,True,22,"가락시장, 경찰병원, 광운대, 교대, 구로, 금천구청, 대방, 봉천, 상계, 서울역, 수서, 신이문, 신정네거리, 양천구청, 연신내, 오금, 온수, 용답, 용두, 창동, 총신대입구, 충정로"
2,인입선+상차,3.0,True,225.0,180,15.94,True,22,"가락시장, 경찰병원, 광운대, 교대, 구로, 금천구청, 낙성대, 노원, 대방, 불광, 서울역, 수서, 신설동, 신이문, 신정네거리, 양천구청, 오금, 용답, 용두, 창동, 총신대입구, 충정로"
2,상차+단축시간,0.0,True,225.0,150,15.0,True,24,"가락시장, 경찰병원, 광운대, 교대, 구로, 금천구청, 노원, 녹번, 대방, 봉천, 불광, 상계, 서울역, 수서, 신설동, 신이문, 신정네거리, 양천구청, 오금, 용답, 용두, 창동, 총신대입구, 충정로"
2,인입선+저속하역,3.0,False,150.0,180,12.81,True,19,"가락시장, 광운대, 교대, 구로, 낙성대, 노원, 대방, 방배, 불광, 서울역, 수서, 신설동, 신이문, 신정네거리, 양천구청, 오금, 용답, 창동, 충정로"
2,저속하역+단축시간,0.0,False,150.0,150,12.19,True,19,"가락시장, 교대, 구로, 노원, 대방, 봉천, 불광, 서울역, 수서, 신설동, 신용산, 신이문, 신정네거리, 양천구청, 오금, 용답, 창동, 총신대입구, 충정로"
2,상차+저속하역,0.0,True,75.0,180,9.69,False,20,"가락시장, 광운대, 교대, 구로, 노원, 대방, 독산, 불광, 서울역, 수서, 신설동, 신이문, 신정네거리, 양천구청, 오금, 오류동, 용답, 창동, 총신대입구, 충정로"
3,인입선+상차+단축시간,3.0,True,225.0,150,12.81,True,22,"가락시장, 개봉, 교대, 구로, 금천구청, 노원, 대방, 봉천, 불광, 서울역, 석계, 수서, 신설동, 신용산, 신이문, 신정네거리, 양천구청, 오금, 용답, 창동, 총신대입구, 충정로"
3,인입선+저속하역+단축시간,3.0,False,150.0,150,9.69,False,19,"가락시장, 구로, 대방, 독산, 봉천, 불광, 서울역, 석계, 수서, 신이문, 신정네거리, 압구정, 양천구청, 오류동, 용답, 용두, 창동, 총신대입구, 충정로"
3,인입선+상차+저속하역,3.0,True,75.0,180,7.5,False,17,"교대, 구로, 노원, 대방, 봉천, 불광, 서울역, 석계, 수서, 신이문, 신정네거리, 양천구청, 오금, 용답, 용두, 창동, 충정로"
3,상차+저속하역+단축시간,0.0,True,75.0,150,6.88,False,20,"가락시장, 교대, 구로, 노원, 대방, 봉천, 불광, 서울역, 수서, 신용산, 신이문, 신정네거리, 양천구청, 오금, 용답, 용두, 창동, 청량리, 총신대입구, 충정로"
4,인입선+상차+저속하역+단축시간,3.0,True,75.0,150,5.0,False,17,"광운대, 교대, 구로, 대방, 독산, 봉천, 서울역, 수서, 신답, 신이문, 양천구청, 연신내, 오금, 용답, 창동, 총신대입구, 충정로"
