변수,방향,단위비용,n
기준,기준,73.56493150058445,18
COST_PER_KM,-30%,56.250796464246875,16
COST_PER_KM,+30%,90.02386788770394,20
TRUCK_CAP,-30%,97.40934544158033,21
TRUCK_CAP,+30%,60.26110309310844,16
BOX_PER_CAR,-30%,77.35628953512536,18
BOX_PER_CAR,+30%,70.62103914507912,20
UNLOAD_RATE,-30%,74.21647657253274,17
UNLOAD_RATE,+30%,72.74929645646321,17
AVAILABLE_MIN,-30%,74.78845990051217,19
AVAILABLE_MIN,+30%,70.81473886074136,24
ALPHA_RAIL,-30%,72.03757484345259,20
ALPHA_RAIL,+30%,75.27296679668204,18
ALPHA_LABOR,-30%,72.18376941939039,18
ALPHA_LABOR,+30%,74.572093293953,17
TURNAROUND,-30%,73.89349082411456,17
TURNAROUND,+30%,73.24139468649288,19
