방향,왕복주행_분,왕복회차_분,최대trips,희망5회_실제,희망10회_실제,희망15회_실제,희망20회_실제
1구로차량사업소신도림,120.0,130.0,1,1,1,1,1
1이문차량사업소외대앞,103.0,113.0,1,1,1,1,1
3지축차량기지구파발,103.0,113.0,1,1,1,1,1
3수서차량기지일원,95.0,105.0,1,1,1,1,1
2군자차량기지2호선성수,81.0,91.0,1,1,1,1,1
2신정차량기지도림천,79.0,89.0,2,2,2,2,2
4창동차량기지쌍문,72.0,82.0,2,2,2,2,2
1이문차량사업소석계,37.0,47.0,3,3,3,3,3
1구로차량사업소구일,20.0,30.0,6,5,6,6,6
1구로차량사업소가산디지털단지,19.0,29.0,6,5,6,6,6
2신정차량기지신정네거리,11.0,21.0,8,5,8,8,8
4창동차량기지노원,10.0,20.0,9,5,9,9,9
2군자차량기지2호선신답,9.0,19.0,9,5,9,9,9
3수서차량기지가락시장,8.0,18.0,10,5,10,10,10
1구로차량사업소기점,0.0,10.0,18,5,10,15,18
1이문차량사업소기점,0.0,10.0,18,5,10,15,18
2군자차량기지2호선기점,0.0,10.0,18,5,10,15,18
2신정차량기지기점,0.0,10.0,18,5,10,15,18
3수서차량기지기점,0.0,10.0,18,5,10,15,18
4창동차량기지기점,0.0,10.0,18,5,10,15,18
