ID,방향,물량,주행회차_분,하역_분,합계_분,가용대비
S01,3수서차량기지일원,1426,105.0,3.2,108.2,0.601
S01,1구로차량사업소기점,7461,50.0,16.6,66.6,0.37
S01,3지축차량기지구파발,1518,113.0,3.4,116.4,0.647
S01,3수서차량기지기점,5736,50.0,12.7,62.7,0.349
S01,1이문차량사업소기점,5266,50.0,11.7,61.7,0.343
S01,2신정차량기지기점,7513,50.0,16.7,66.7,0.371
S01,3수서차량기지가락시장,3974,90.0,8.8,98.8,0.549
S01,2군자차량기지2호선신답,7442,95.0,16.5,111.5,0.62
S01,4창동차량기지기점,3509,50.0,7.8,57.8,0.321
S01,4창동차량기지쌍문,3102,164.0,6.9,170.9,0.949
S01,2군자차량기지2호선성수,1459,91.0,3.2,94.2,0.524
S02,3수서차량기지가락시장,7517,90.0,16.7,106.7,0.593
S02,1구로차량사업소구일,7009,150.0,15.6,165.6,0.92
S02,1이문차량사업소석계,4444,141.0,9.9,150.9,0.838
S02,3수서차량기지일원,1123,105.0,2.5,107.5,0.597
S02,1구로차량사업소기점,7764,50.0,17.3,67.3,0.374
S02,1구로차량사업소신도림,1377,130.0,3.1,133.1,0.739
S02,1구로차량사업소가산디지털단지,7015,145.0,15.6,160.6,0.892
S02,3지축차량기지구파발,1464,113.0,3.3,116.3,0.646
S02,3수서차량기지기점,7758,50.0,17.2,67.2,0.374
S02,2군자차량기지2호선신답,7408,95.0,16.5,111.5,0.619
S02,1이문차량사업소기점,7410,50.0,16.5,66.5,0.369
S02,2신정차량기지신정네거리,6544,105.0,14.5,119.5,0.664
S02,2신정차량기지도림천,980,178.0,2.2,180.2,1.001
S02,2신정차량기지기점,7580,50.0,16.8,66.8,0.371
S02,2군자차량기지2호선기점,7614,50.0,16.9,66.9,0.372
S02,4창동차량기지기점,7598,50.0,16.9,66.9,0.372
S02,1이문차량사업소외대앞,1593,113.0,3.5,116.5,0.647
S02,4창동차량기지쌍문,3157,164.0,7.0,171.0,0.95
S02,2군자차량기지2호선성수,1460,91.0,3.2,94.2,0.524
S05,1이문차량사업소석계,4244,141.0,9.4,150.4,0.836
S05,1구로차량사업소기점,10907,100.0,24.2,124.2,0.69
S05,3지축차량기지구파발,1478,113.0,3.3,116.3,0.646
S05,3수서차량기지기점,8816,100.0,19.6,119.6,0.664
S05,2신정차량기지기점,5864,100.0,13.0,113.0,0.628
S05,2군자차량기지2호선기점,9620,100.0,21.4,121.4,0.674
S05,4창동차량기지기점,2987,100.0,6.6,106.6,0.592
S05,4창동차량기지쌍문,2922,164.0,6.5,170.5,0.947
S05,2군자차량기지2호선성수,1569,91.0,3.5,94.5,0.525
S06,3수서차량기지일원,1557,105.0,3.5,108.5,0.603
S06,1구로차량사업소기점,15009,100.0,33.4,133.4,0.741
S06,1구로차량사업소가산디지털단지,2774,174.0,6.2,180.2,1.001
S06,3지축차량기지구파발,1464,113.0,3.3,116.3,0.646
S06,3수서차량기지기점,12951,100.0,28.8,128.8,0.715
S06,2군자차량기지2호선신답,3973,171.0,8.8,179.8,0.999
S06,1이문차량사업소기점,12468,100.0,27.7,127.7,0.709
S06,2신정차량기지신정네거리,5370,168.0,11.9,179.9,1.0
