n,허브목록,신규추가,빠짐
7,"구로, 수서, 신답, 신이문, 양천구청, 용답, 총신대입구","구로, 수서, 신답, 신이문, 양천구청, 용답, 총신대입구",-
8,"구로, 불광, 수서, 신답, 신이문, 양천구청, 용답, 총신대입구",불광,-
9,"광운대, 구로, 불광, 수서, 신답, 양천구청, 용답, 총신대입구, 충정로","광운대, 충정로",신이문
10,"구로, 매봉, 불광, 수서, 신답, 신이문, 양천구청, 창동, 총신대입구, 충정로","매봉, 신이문, 창동","광운대, 용답"
11,"가락시장, 교대, 구로, 불광, 수서, 신답, 신이문, 양천구청, 창동, 총신대입구, 충정로","가락시장, 교대",매봉
12,"가락시장, 교대, 구로, 불광, 서울역, 수서, 신답, 신이문, 양천구청, 창동, 총신대입구, 충정로",서울역,-
13,"가락시장, 교대, 구로, 불광, 서울역, 수서, 신답, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로",오금,-
14,"가락시장, 교대, 구로, 독산, 불광, 서울역, 수서, 신답, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로",독산,-
15,"가락시장, 교대, 구로, 독산, 불광, 서울역, 수서, 신답, 신설동, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로",신설동,-
16,"가락시장, 교대, 구로, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로",대방,-
17,"가락시장, 교대, 구로, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신용산, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로",신용산,-
18,"가락시장, 교대, 구로, 구의, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신용산, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로",구의,-
19,"가락시장, 교대, 구로, 구의, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신용산, 신이문, 양천구청, 오금, 창동, 청량리, 총신대입구, 충정로",청량리,-
20,"가락시장, 교대, 구로, 구의, 대방, 독산, 동대입구, 불광, 서울역, 수서, 신답, 신설동, 신용산, 신이문, 양천구청, 오금, 창동, 청량리, 총신대입구, 충정로",동대입구,-
21,"가락시장, 광운대, 교대, 구로, 구의, 대방, 도봉산, 독산, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 양천구청, 오금, 창동, 청량리, 총신대입구, 충정로","광운대, 도봉산, 석계","동대입구, 신이문"
22,"가락시장, 광운대, 교대, 구로, 구의, 대방, 도봉산, 독산, 동대입구, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 양천구청, 오금, 창동, 청량리, 총신대입구, 충정로",동대입구,-
23,"가락시장, 광운대, 교대, 구로, 구의, 녹번, 대방, 도봉산, 독산, 동대입구, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 양천구청, 오금, 창동, 청량리, 총신대입구, 충정로",녹번,-
24,"가락시장, 광운대, 교대, 구로, 구의, 녹번, 대방, 도봉산, 독산, 동대입구, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 양천구청, 오금, 을지로4가, 창동, 청량리, 총신대입구, 충정로",을지로4가,-
25,"가락시장, 광운대, 교대, 구로, 구의, 녹번, 대방, 도봉산, 독산, 동대입구, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 안국, 양천구청, 오금, 을지로4가, 창동, 청량리, 총신대입구, 충정로",안국,-
26,"가락시장, 광운대, 교대, 구로, 구의, 노원, 녹번, 대방, 도봉산, 독산, 동대입구, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 안국, 양천구청, 오금, 을지로4가, 창동, 청량리, 총신대입구, 충정로",노원,-
27,"가락시장, 광운대, 교대, 구로, 구의, 노원, 녹번, 대방, 도곡, 도봉산, 독산, 동대입구, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 안국, 양천구청, 오금, 을지로4가, 창동, 청량리, 총신대입구, 충정로",도곡,-
28,"가락시장, 광운대, 교대, 구로, 구의, 금호, 노원, 녹번, 대방, 도곡, 도봉산, 독산, 동대입구, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 안국, 양천구청, 오금, 을지로4가, 창동, 청량리, 총신대입구, 충정로",금호,-
29,"가락시장, 광운대, 교대, 구로, 구의, 금호, 노원, 녹번, 대방, 도곡, 도봉산, 독산, 동대입구, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 안국, 양천구청, 오금, 을지로4가, 이촌, 창동, 청량리, 총신대입구, 충정로",이촌,-
30,"가락시장, 광운대, 교대, 구로, 구의, 금호, 노원, 녹번, 대방, 도곡, 도봉산, 독산, 동대입구, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 신이문, 안국, 양천구청, 오금, 을지로4가, 이촌, 창동, 청량리, 총신대입구, 충정로",신이문,-
