n,총비용,단위비용,한계개선
7,14173442.36669787,97.59869642769944,
8,13131349.706807368,90.4228189992803,1042092.6598905028
9,12318334.375146303,84.82437407017164,813015.3316610623
10,11693047.746560536,80.51863392146703,625286.6285857689
11,11295805.40481109,77.78321272190523,397242.34174944647
12,11039388.27824564,76.01751765312464,256417.1265654489
13,10912509.555418734,75.14382743504373,126878.7228269074
14,10798395.313551024,74.35803376812959,114114.2418677099
15,10717783.559330612,73.80293911115704,80611.75422041118
16,10669278.234032668,73.46893016707695,48505.32529794425
17,10657055.41103245,73.38476348684331,12222.82300021872
18,10640331.854249151,73.26960463555962,-26164.29373433813
19,10644331.854198042,73.29714874027478,38887.850568745285
20,10656551.85431217,73.38129598204065,-12220.000114127994
21,10662184.472213453,73.4200823368596,-5632.617901282385
22,10674404.472158805,73.50422957746325,-12219.999945349991
23,10686840.690146685,73.58986570118715,-12436.217987881972
24,10709640.690155398,73.7468671001296,-22800.00000871345
25,10732740.690030117,73.90593430602942,-23099.999874718487
26,10763006.169289684,74.11434319118733,-30265.47925956733
27,10800226.169281276,74.37064108877878,-37219.99999159202
28,10838106.169164164,74.63148376295777,-37879.99988288805
29,10876770.60905956,74.8977281116676,-38664.43989539519
30,10917627.827143583,75.17907198858154,-40857.21808402613
