ID,선정역사
S01,"교대, 녹번, 수서, 양천구청, 오금, 용두, 창동, 총신대입구, 충정로, 구로, 신이문"
S02,"가락시장, 교대, 불광, 수서, 신설동, 신정네거리, 아현, 양천구청, 오금, 용답, 창동, 청량리, 총신대입구, 충정로, 개봉, 광운대, 구로, 대방, 독산, 신이문"
S05,"불광, 수서, 양천구청, 용답, 창동, 총신대입구, 충정로, 광운대, 구로"
S06,"교대, 불광, 수서, 신설동, 신정네거리, 양천구청, 용답, 창동, 총신대입구, 충정로, 구로, 독산, 신이문"
S09,"불광, 수서, 양천구청, 용답, 창동, 총신대입구, 충정로, 구로"
S10,"교대, 불광, 서울역, 수서, 신설동, 신정네거리, 양천구청, 용답, 창동, 총신대입구, 충정로, 구로, 독산, 신이문"
S13,"가락시장, 구의, 녹번, 도곡, 신용산, 양천구청, 용두, 창동, 총신대입구, 구로"
S14,"가락시장, 남부터미널, 녹번, 서울역, 수서, 신용산, 양천구청, 오금, 용두, 창동, 총신대입구, 충정로, 구로, 독산, 신이문"
S15,"가락시장, 교대, 불광, 서울역, 서초, 수서, 신용산, 신정네거리, 양천구청, 오금, 용답, 용두, 창동, 총신대입구, 충정로, 구로, 대방, 독산, 신이문"
S16,"가락시장, 경찰병원, 교대, 노원, 녹번, 불광, 상계, 서울역, 수서, 신정네거리, 아현, 양천구청, 오금, 용답, 용두, 창동, 총신대입구, 충정로, 가산디지털단지, 개봉, 광운대, 구로, 대방, 신이문"
S17,"도곡, 불광, 수서, 신용산, 양천구청, 창동, 청량리, 총신대입구, 충정로, 구로, 신이문"
S18,"교대, 불광, 수서, 신용산, 양천구청, 용답, 창동, 청량리, 총신대입구, 충정로, 구로, 신이문"
S19,"매봉, 불광, 서울역, 수서, 신설동, 양천구청, 용답, 창동, 총신대입구, 충정로, 구로, 대방, 독산, 신이문"
S21,"교대, 불광, 수서, 신용산, 양천구청, 을지로4가, 창동, 청량리, 총신대입구, 구로, 신이문"
S22,"교대, 불광, 서울역, 수서, 신설동, 양천구청, 용답, 창동, 총신대입구, 충정로, 구로, 대방, 신이문"
S25,"구의, 녹번, 동대입구, 수서, 신답, 신용산, 양천구청, 연신내, 총신대입구, 충정로, 구로, 신이문"
S26,"교대, 구로, 구의, 독산, 불광, 서울역, 수서, 신용산, 신이문, 양천구청, 오금, 용두, 창동, 총신대입구, 충정로"
S27,"가락시장, 교대, 구로, 대방, 독산, 불광, 서울역, 수서, 신설동, 신용산, 신이문, 양천구청, 오금, 용답, 용두, 창동, 총신대입구, 충정로"
S28,"가락시장, 개봉, 경찰병원, 광운대, 교대, 구로, 대방, 도봉산, 독산, 불광, 서울역, 수서, 신설동, 신용산, 신이문, 양천구청, 오금, 용답, 용두, 창동, 총신대입구, 충정로"
S29,"구의, 녹번, 도곡, 동대입구, 수서, 양천구청, 창동, 청량리, 총신대입구, 구로"
S30,"교대, 구로, 불광, 수서, 신용산, 신이문, 양천구청, 용답, 창동, 청량리, 총신대입구, 충정로"
S31,"도곡, 불광, 수서, 양천구청, 용답, 용두, 종각, 창동, 총신대입구, 충정로, 구로, 대방, 신이문"
S33,"구의, 녹번, 도곡, 동대입구, 수서, 양천구청, 창동, 총신대입구, 충무로, 구로, 신이문"
S34,"교대, 불광, 수서, 신용산, 양천구청, 용답, 창동, 청량리, 총신대입구, 충정로, 구로, 대방, 석계"
S37,"구의, 녹번, 동대입구, 불광, 수서, 신답, 신용산, 양천구청, 총신대입구, 충정로, 구로, 신이문"
S38,"가락시장, 구로, 구의, 녹번, 도곡, 독산, 불광, 서울역, 신용산, 신이문, 양천구청, 오금, 용두, 창동, 총신대입구"
S39,"가락시장, 교대, 구로, 구의, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신용산, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로"
S40,"가락시장, 경찰병원, 광운대, 교대, 구로, 대방, 도봉산, 독산, 불광, 서울역, 수서, 신설동, 신이문, 양천구청, 오금, 용답, 용두, 창동, 총신대입구, 충정로"
S41,"구의, 녹번, 도곡, 동대입구, 수서, 양천구청, 창동, 청량리, 구로"
S42,"교대, 구로, 녹번, 불광, 수서, 신용산, 신이문, 양천구청, 용답, 을지로4가, 창동, 청량리, 총신대입구, 충정로"
S43,"구로, 대방, 도곡, 불광, 서울역, 수서, 신설동, 신용산, 신이문, 압구정, 양천구청, 역삼, 용답, 창동, 총신대입구"
S44,"도곡, 불광, 서울역, 수서, 신정네거리, 양천구청, 역삼, 용답, 용두, 창동, 총신대입구, 광운대, 구로, 대방, 도봉산, 독산, 신이문"
S45,"경복궁, 구의, 녹번, 도곡, 동대입구, 뚝섬, 미아사거리, 불광, 수서, 숙대입구, 신용산, 안국, 압구정, 양천구청, 창동, 청량리, 총신대입구, 충정로, 광운대, 구로, 도봉산, 석계"
S46,"구로, 녹번, 대방, 도곡, 불광, 수서, 신용산, 신이문, 압구정, 양천구청, 용답, 을지로4가, 창동, 청량리, 총신대입구, 충정로"
S47,"교대, 도곡, 불광, 서울역, 수서, 신설동, 신정네거리, 양천구청, 용답, 창동, 총신대입구, 충정로, 구로, 대방, 독산, 석계, 신이문"
SMAX,"가락시장, 개봉, 경찰병원, 광운대, 구로, 노원, 녹번, 대방, 독산, 매봉, 불광, 상계, 서울역, 서초, 수서, 신답, 신설동, 신이문, 신정네거리, 아현, 양천구청, 오금, 용답, 용두, 창동, 총신대입구, 충정로"
