ID,칸,운행,분담률,총능력,필요물량,실행가능,n,총비용,단위비용,라스트마일비중,철도비중,철도운행비중,철도하역비중,심도비중,고정비중
S01,1,5,0.04,108000,48407.212,True,11.0,4578823.700056309,94.58970080855532,0.7078319899069935,0.0840050529124477,0.0776618676092785,0.0063431853031692,0.0362376998406205,0.1719252573399381
S02,1,5,0.08,108000,96814.424,True,20.0,9522996.920198848,98.3634103963563,0.7063954084095996,0.0979826689244079,0.091882839754371,0.0060998291700368,0.0317911746888854,0.1638307479771071
S03,1,5,0.12,108000,145221.636,False,,,,,,,,,
S04,1,5,0.16,108000,193628.848,False,,,,,,,,,
S05,1,10,0.04,180000,48407.212,True,9.0,4640455.119820105,95.86288753461169,0.7725848743529206,0.0724808921787479,0.0662219528182643,0.0062589393604836,0.0244616859190312,0.1304725475493003
S06,1,10,0.08,180000,96814.424,True,13.0,9273657.441126237,95.7879730929994,0.7879820825675418,0.0595545671064735,0.0532907327165604,0.006263834389913,0.0269424916448559,0.1255208586811289
S08,1,10,0.16,180000,193628.848,False,,,,,,,,,
S09,1,15,0.04,225000,48407.212,True,8.0,4678779.760578296,96.65460098338852,0.7921313520920649,0.0552802953836903,0.0490726240064827,0.0062076713772075,0.0271885329907208,0.1253998195335239
S10,1,15,0.08,225000,96814.424,True,14.0,9378598.996754212,96.87191855579508,0.7705606377752161,0.066575898474398,0.0603821530482311,0.0061937454261669,0.0272827820766229,0.1355806816737629
S13,2,5,0.04,216000,48407.212,True,10.0,4112439.767461194,84.95510477780034,0.7129642167981991,0.0935319053772936,0.0864693515546682,0.0070625538226254,0.0464269250144589,0.1470769528100481
S14,2,5,0.08,216000,96814.424,True,15.0,7944486.800448367,82.05891717589898,0.7420802333086154,0.0695184809632801,0.0622066613506247,0.0073118196126553,0.0411107450143421,0.1472905407137625
S15,2,5,0.12,216000,145221.636,True,19.0,12059853.340906871,83.04446687893582,0.7666543832841757,0.0583616535312753,0.0511366085944147,0.0072250449368605,0.0372267180318662,0.1377572451526829
S16,2,5,0.16,216000,193628.848,True,24.0,17544612.494068284,90.60949685590384,0.7992571886051919,0.0584895966968175,0.0518677742416747,0.0066218224551427,0.0326206296334203,0.1096325850645696
S17,2,10,0.04,360000,48407.212,True,11.0,4201540.566803353,86.79575611178254,0.7212208121963987,0.0945473025629345,0.0876345221819759,0.0069127803809586,0.0351768502309256,0.1490550350097413
S18,2,10,0.08,360000,96814.424,True,12.0,8170362.285167826,84.391993957097,0.8219480579729087,0.0521750002657616,0.0450653211141465,0.0071096791516151,0.0285836219302095,0.0972933198311202
S19,2,10,0.12,360000,145221.636,True,14.0,13101515.450966297,90.217379529909,0.8328160434052635,0.0515843364936957,0.0449337332160746,0.0066506032776211,0.0224250253905345,0.093174594710506
S21,2,15,0.04,450000,48407.212,True,11.0,4226760.134718442,87.31674393308258,0.7173153184962915,0.0939831725810629,0.0871116382913758,0.006871534289687,0.0332564189076614,0.1554450900149843
