역명,노선,위도,경도,서울내,경계에서_안쪽_m
가락시장,3,37.492245,127.117757,True,2367.0104278839135
강남,2,37.49799,127.027912,True,3602.323497962045
강변,2,37.535095,127.094681,True,2533.3626590419876
건대입구,2,37.540373,127.069191,True,3581.52175213298
경복궁,3,37.575762,126.97353,True,6056.248218746922
경찰병원,3,37.495918,127.12454,True,1799.2864386472336
고속터미널,3,37.504891,127.004916,True,4125.35257059584
교대,23,37.493493,127.0142265,True,3007.6706113016407
구로디지털단지,2,37.485266,126.901401,True,2201.332732567435
구의,2,37.537077,127.085916,True,2725.2631935330114
구파발,3,37.636763,126.918821,True,678.2057635558511
금호,3,37.548034,127.015872,True,7667.15238205737
길음,4,37.603407,127.025053,True,5124.024068949536
낙성대,2,37.47693,126.963693,True,2677.2498465684894
남부터미널,3,37.485013,127.016189,True,2214.7195749194284
남태령,4,37.463873,126.989134,True,435.77556402674236
노원,4,37.65627,127.063276,True,2466.82029802655
녹번,3,37.600927,126.935756,True,2986.5271774037956
당산,2,37.534946,126.902767,True,5338.105158454433
대림,2,37.493243,126.894932,True,1685.4848279893106
대청,3,37.493514,127.079532,True,4111.078832379882
대치,3,37.494612,127.063642,True,4242.139175204376
도곡,3,37.490922,127.055452,True,3485.8811359758056
도림천,2,37.514287,126.882768,True,2480.33759086636
독립문,3,37.574571,126.957748,True,5397.308394437029
동대문,14,37.5713085,127.0101085,True,7366.253186573768
동대문역사문화공원,24,37.565373,127.0084695,True,7916.266372940714
동대입구,3,37.559052,127.005602,True,8439.337810002573
동묘앞,1,37.573197,127.01648,True,7432.352127426621
동작,4,37.502852,126.980347,True,4222.204317036723
뚝섬,2,37.547184,127.047367,True,4984.60428136865
매봉,3,37.486947,127.046769,True,2712.8708888325696
명동,4,37.560989,126.986325,True,7889.110298948747
무악재,3,37.582299,126.950291,True,4509.5648139846835
문래,2,37.517933,126.89476,True,3438.9697791558583
미아,4,37.62667,127.025983,True,3797.0751148288123
미아사거리,4,37.613292,127.030053,True,4764.540534493924
방배,2,37.481426,126.997596,True,1573.687080351165
봉천,2,37.482362,126.941892,True,3761.142908963133
불광,3,37.610553,126.92982,True,2367.1601668606468
불암산,4,37.670272,127.079066,True,1418.2322381342208
