ID,허브,트럭번호,방문순서,방문행정동수,경로거리_km
S25,가락시장,1,삼전동,1,6.4
S25,가락시장,2,위례동 -> 거여1동 -> 둔촌2동 -> 둔촌1동,4,16.7
S25,가락시장,3,잠실4동 -> 자양1동,2,13.4
S25,가락시장,4,잠실6동 -> 자양3동,2,14.2
S25,가락시장,5,길동,1,12.52
S25,가락시장,6,마천2동 -> 마천1동 -> 거여2동,3,8.81
S25,가락시장,7,문정1동,1,2.28
S25,가락시장,8,천호2동,1,14.0
S25,가락시장,9,구의1동 -> 풍납1동,2,18.01
S25,가락시장,10,방이1동 -> 풍납2동,2,11.55
S25,가락시장,11,성내1동,1,10.46
S25,가락시장,12,구의3동,1,12.97
S25,가락시장,13,고덕1동 -> 고덕2동,2,19.93
S25,가락시장,14,암사3동 -> 천호3동,2,17.72
S25,가락시장,15,성내2동 -> 천호1동,2,14.83
S25,가락시장,16,잠실2동,1,11.74
S25,가락시장,17,자양2동 -> 송파2동,2,12.36
S25,가락시장,18,성내3동 -> 오륜동,2,9.58
S25,가락시장,19,상일2동 -> 강일동,2,24.25
S25,가락시장,20,세곡동,1,7.45
S25,가락시장,21,암사1동 -> 암사2동,2,17.49
S25,가락시장,22,명일2동 -> 명일1동,2,15.96
S25,가락시장,23,잠실3동,1,7.12
S25,가락시장,24,방이2동,1,5.71
S25,가락시장,25,위례동,1,5.62
S25,가락시장,26,오금동,1,4.65
S25,가락시장,27,석촌동,1,4.39
S25,가락시장,28,송파1동,1,4.25
S25,가락시장,29,문정2동 -> 세곡동 -> 장지동,3,8.79
S25,가락시장,30,일원1동 -> 가락1동,2,7.11
S25,가락시장,31,수서동 -> 일원본동,2,6.95
S25,가락시장,32,문정2동,1,3.18
S25,가락시장,33,가락2동,1,2.77
S25,가락시장,34,상일1동,1,17.15
S25,가락시장,35,가락본동,1,1.58
S25,노원,1,쌍문3동 -> 우이동 -> 쌍문4동,3,12.67
S25,노원,2,방학2동 -> 도봉1동 -> 상계10동,3,12.32
