ID,허브,방문건수,기존_거리km,기존_트럭대수,VRP_거리km,VRP_트럭대수,거리절감률,기존_비용원,VRP_비용원
S25,가락시장,56,538.3,56,371.9,35,0.3092,807524,557858
S25,노원,46,341.7,46,217.1,24,0.3646,512480,325646
S25,녹번,34,250.8,34,172.7,20,0.3112,376153,259111
S25,도곡,37,238.4,37,172.9,24,0.2749,357666,259326
S25,양천구청,101,1013.1,101,646.0,57,0.3623,1519594,969052
S25,청량리,99,831.8,99,521.2,53,0.3734,1247765,781811
S25,총신대입구,53,487.3,53,293.0,28,0.3986,730885,439537
S25,충정로,48,314.4,48,203.1,25,0.3542,471625,304575
SMAX,가락시장,36,158.1,36,158.1,36,0.0,237091,237090
SMAX,경찰병원,27,96.3,27,87.5,24,0.0916,144406,131184
SMAX,노원,58,352.4,58,314.0,50,0.109,528530,470928
SMAX,녹번,19,86.7,19,84.4,18,0.0266,130060,126599
SMAX,매봉,31,108.3,31,105.4,29,0.0264,162425,158138
SMAX,불광,14,50.3,14,45.2,12,0.1019,75495,67798
SMAX,상계,47,350.0,47,331.0,42,0.0544,525000,496437
SMAX,서울역,34,142.1,34,133.6,31,0.0601,213224,200400
SMAX,서초,28,79.5,28,76.9,26,0.0319,119227,115424
SMAX,수서,73,568.9,73,527.2,66,0.0734,853334,790732
SMAX,신답,18,145.0,18,142.7,17,0.0158,217478,214038
SMAX,신설동,63,587.3,63,540.1,55,0.0804,880954,810120
SMAX,신정네거리,32,186.9,32,177.0,30,0.0532,280353,265427
SMAX,아현,6,18.2,6,18.2,6,0.0003,27241,27234
SMAX,양천구청,97,1000.0,97,923.5,86,0.0765,1500072,1385245
SMAX,오금,19,90.8,19,78.6,16,0.1344,136164,117858
SMAX,용답,119,1441.6,119,1320.1,107,0.0842,2162366,1980197
SMAX,용두,94,1114.7,94,1008.7,83,0.0951,1672047,1513036
SMAX,창동,78,1482.5,78,1307.9,68,0.1177,2223676,1961850
SMAX,총신대입구,44,194.9,44,174.3,38,0.1058,292310,261375
SMAX,충정로,5,14.5,5,14.5,5,0.0003,21696,21690
SMAX,개봉,80,786.1,80,703.0,69,0.1058,1179222,1054445
SMAX,광운대,102,1530.8,102,1374.4,90,0.1022,2296178,2061567
SMAX,구로,169,1552.6,169,1454.8,154,0.063,2328899,2182142
SMAX,대방,32,232.0,32,218.0,30,0.0604,347999,326964
SMAX,독산,92,711.3,92,638.8,81,0.1019,1067012,958257
SMAX,신이문,178,2393.7,178,2126.7,154,0.1115,3590569,3190051
S39,가락시장,37,291.3,37,251.8,31,0.1357,436944,377658
S39,교대,35,148.6,35,136.7,30,0.0805,222967,205023
S39,구의,22,90.6,22,85.7,20,0.0542,135956,128592
S39,불광,37,171.9,37,158.1,32,0.0802,257897,237218
S39,서울역,39,246.9,39,213.5,32,0.1353,370330,320231
S39,수서,81,707.4,81,630.5,67,0.1088,1061171,945709
S39,신답,89,750.5,89,676.1,78,0.0992,1125822,1014182
S39,신설동,73,491.5,73,399.1,55,0.188,737307,598672
S39,신용산,18,72.1,18,59.6,14,0.1739,108207,89389
S39,양천구청,108,1025.4,108,846.3,84,0.1747,1538166,1269396
S39,오금,26,287.9,26,242.0,21,0.1592,431775,363057
S39,창동,72,446.2,72,352.8,53,0.2092,669233,529205
S39,총신대입구,31,143.0,31,121.2,25,0.1523,214456,181792
S39,충정로,15,91.0,15,69.8,12,0.2326,136480,104732
S39,구로,76,707.4,76,610.0,63,0.1377,1061138,915069
S39,대방,38,252.2,38,219.7,32,0.129,378292,329500
S39,독산,68,560.0,68,466.7,56,0.1666,839934,700021
S39,신이문,68,448.7,68,389.1,54,0.1328,673024,583631
